sessionN,monkey,low_midWeibull,hi_midWeibull
1,joule,223,183
2,joule,284,180
3,joule,335,148
4,joule,290,180
5,joule,246,190
6,joule,262,194
7,joule,298,153
8,joule,251,148
9,joule,261,148
10,joule,265,170
11,darwin,249,182
12,darwin,237,161
13,joule,348,179
14,darwin,233,184
15,darwin,258,151
16,darwin,232,149
17,joule,204,170
18,darwin,252,206
19,darwin,243,235
20,darwin,266,194
21,darwin,231,189
22,darwin,240,175
23,darwin,244,149
24,joule,248,161
25,darwin,261,191
26,joule,272,141
27,joule,286,174
28,joule,280,153
29,darwin,255,227
30,darwin,253,231
31,darwin,265,228
32,darwin,274,228
33,joule,267,167
34,darwin,267,223
35,joule,264,160
36,joule,249,150
37,darwin,254,223
38,darwin,277,243
39,darwin,291,253
40,joule,258,158
41,darwin,290,226
42,darwin,278,209
43,darwin,296,263
44,darwin,288,234
45,darwin,310,272
46,joule,239,108
47,darwin,312,240
48,joule,273,140
49,darwin,297,265
50,joule,265,154
51,darwin,280,232
52,darwin,282,257
53,darwin,264,226
54,darwin,298,271
55,darwin,280,216
56,joule,120,67
57,darwin,281,270
58,darwin,310,247
59,joule,301,153
60,joule,322,165
61,darwin,271,228
62,darwin,290,256
63,darwin,284,261
64,joule,220,182
65,darwin,313,248
66,joule,272,169
67,darwin,310,216
68,joule,284,160
69,joule,270,187
70,darwin,301,181
71,joule,225,157
72,joule,246,192
73,joule,302,188
74,joule,311,203
75,darwin,286,217
76,darwin,307,230
77,joule,254,179
78,darwin,313,274
79,darwin,333,231
80,joule,282,187
81,joule,283,173
82,joule,274,159
83,joule,268,166
84,joule,252,153
85,joule,261,192
86,joule,263,189
87,joule,289,198
88,joule,244,177
89,darwin,296,197
90,darwin,340,239
91,darwin,301,206
92,darwin,309,206
93,darwin,296,201
94,darwin,315,227
95,joule,270,152
96,darwin,323,211
97,joule,235,152
98,joule,192,112
99,darwin,295,221
100,joule,216,134
101,darwin,309,175
102,darwin,291,219
103,joule,252,151
104,darwin,316,187
105,joule,248,148
106,darwin,288,194
107,joule,216,145
108,joule,274,185
109,darwin,292,213
110,darwin,303,213
112,darwin,301,211
116,darwin,325,221
117,darwin,326,221
1,Euler,114,127
2,Euler,176,157
3,Euler,174,187
4,Euler,172,167
5,Euler,171,126
6,Euler,177,113
7,Xena,118,126
8,Xena,133,131
9,Xena,121,144
10,Xena,155,147
11,Xena,55,125
12,Xena,153,148
13,Xena,182,138
14,Euler,176,136
15,Euler,226,162
16,Euler,249,175
17,Euler,274,148
18,Euler,259,141
19,Euler,253,162
20,Xena,142,118
21,Xena,161,133
22,Xena,146,89
23,Xena,283,123
24,Xena,169,160
25,Xena,169,148
26,Xena,290,155
27,Xena,184,174
28,Xena,178,178
29,Xena,189,175
